#{"t_start": 1694674190.3130488, "env_id": null}
r,l,t
46.688323,149,295.926528
46.720887,149,296.725524
45.90927,149,297.637522
-352.328602,149,298.439534
49.853827,149,299.231523
47.401581,149,300.004527
47.257842,149,300.787528
47.122837,149,301.57753
45.913587,149,302.369532
47.505166,149,303.299537
47.210856,149,304.203534
46.009612,149,305.108536
-255.080897,149,306.015532
47.283679,149,306.93953
47.162661,149,307.785533
46.931674,149,308.568536
46.646912,149,309.386538
47.587759,149,310.179539
47.238603,149,310.968503
46.784498,149,311.818547
46.252556,149,312.741539
46.630647,149,313.674535
46.96336,149,314.6675
46.499185,149,315.579572
47.359746,149,316.457553
47.217689,149,317.24554
-152.953827,149,317.990539
47.06965,149,318.690668
47.014604,149,319.50463
-191.572597,5,320.127679
47.343408,149,320.257672
46.173895,149,321.164675
46.081645,149,322.074677
46.847351,149,322.964675
46.669108,149,323.829698
46.300357,149,324.739677
47.283898,149,325.613674
46.784888,149,326.49968
48.431814,149,327.440683
46.113071,149,328.295718
48.014887,149,329.102679
46.972827,149,329.891679
46.953237,149,330.652684
47.000353,149,331.357681
46.391889,149,332.04868
46.035605,149,332.74668
46.467507,149,333.615684
47.411573,149,334.367686
46.182114,149,335.10369
45.625571,149,335.803693
-190.904411,6,336.420698
46.626337,149,336.550684
47.727091,149,337.240649
46.14532,149,337.935688
-152.049253,149,338.634693
46.348441,149,339.361686
46.275969,149,340.074653
46.869182,149,340.879696
46.52314,149,341.574688
46.693976,149,342.277699
46.394413,149,342.97169
47.523341,149,343.654691
46.483955,149,344.381696
47.42162,149,345.075693
46.107986,149,345.780691
47.773382,149,346.487693
46.611051,149,347.181697
46.512791,149,347.88166
46.813633,149,348.616697
47.283459,149,349.3117
46.78519,149,350.0077
46.324173,149,350.70463
48.081275,149,351.407709
46.669578,149,352.114702
-52.776021,149,352.816709
-53.064598,149,353.597711
46.892218,149,354.30671
47.142232,149,355.025704
46.379146,149,355.721714
47.923309,149,356.425712
45.320463,149,357.136714
46.717725,149,357.840714
46.239298,149,358.551705
48.000319,149,359.250705
47.560121,149,359.984713
-192.759442,4,360.579704
47.112838,149,360.703704
47.826624,149,361.411716
45.973837,149,362.157717
46.189843,149,362.89571
47.475906,149,363.636708
48.395637,149,364.337719
47.221223,149,365.053712
47.146041,149,365.763731
47.294812,149,366.472726
47.980301,149,367.171712
46.031144,149,367.867723
46.739704,149,368.551716
46.804375,149,369.253716
46.719637,149,369.959715
47.310041,149,370.658718
47.31661,149,371.356677
46.73368,149,372.058733
47.775879,149,372.759725
47.148579,149,373.462721
-92.607442,4,374.061725
45.983071,149,374.189718
46.384567,149,374.895723
46.152341,149,375.597719
46.943354,149,376.303719
47.165797,149,377.015739
46.639918,149,377.719725
48.346211,149,378.438725
47.458932,149,379.144721
46.554937,149,379.862723
45.991066,149,380.577724
48.324741,149,381.283729
46.674647,149,381.984737
46.12315,149,382.691729
-52.88707,149,383.399729
45.8225,149,384.080735
46.782004,149,384.780734
47.566794,149,385.494733
46.686214,149,386.195728
47.527445,149,386.886731
47.924157,149,387.586731
47.207793,149,388.310736
46.786419,149,389.01475
47.514117,149,389.719737
48.554556,149,390.416732
46.785978,149,391.112741
47.405737,149,391.873736
48.350421,149,392.640736
45.788079,149,393.451676
47.50915,149,394.327737
46.171167,149,395.087745
47.580439,149,395.930677
46.798854,149,396.631738
46.09699,149,397.403746
-390.739677,6,398.079751
47.367358,149,398.214746
45.86397,149,399.108747
47.475122,149,400.035739
