#{"t_start": 1694684980.9117434, "env_id": null}
r,l,t
52.955724,149,276.535838
49.422619,149,277.337282
60.95238,149,278.070062
46.044647,149,278.956715
56.711403,149,279.690456
38.236796,149,280.534992
54.812589,149,281.37349
27.188445,149,282.191362
26.821658,149,282.99091
47.616199,149,283.777995
36.546208,149,284.490215
33.080662,149,285.224358
30.702225,149,285.950015
39.057004,149,286.735718
38.628589,149,287.536086
18.767941,149,288.335534
35.755682,149,289.080878
-277.119087,149,289.849333
20.335182,149,290.595017
19.984722,149,291.30873
32.562961,149,292.021625
46.70137,149,292.775969
45.178,149,293.521029
-281.732642,10,294.15673
40.280251,149,294.305519
40.699852,149,295.079707
48.14268,149,295.830993
24.176395,149,296.570677
33.962107,149,297.307179
31.176868,149,298.053495
26.580158,149,298.801002
33.062602,149,299.530735
37.91785,149,300.213017
39.245827,149,300.918368
33.388026,149,301.60821
35.116024,149,302.320358
35.75626,149,303.016115
42.341577,149,303.71046
43.866257,149,304.405125
33.458177,149,305.109458
-75.903393,10,305.737676
40.620487,149,305.890913
41.086027,149,306.599578
37.401677,149,307.354147
52.268027,149,308.081956
58.91126,149,308.780311
44.664228,149,309.490842
65.101093,149,310.203472
45.419026,149,310.954193
-273.286821,13,311.623958
-58.927115,149,311.790914
40.294731,149,312.498358
44.340529,149,313.291541
55.85275,149,314.007943
42.41649,149,314.741636
34.333308,149,315.468692
-159.652172,149,316.174908
45.965016,149,316.912297
43.451559,149,317.711177
-27.517419,149,318.449526
43.005994,149,319.208283
32.027466,149,319.963237
37.446222,149,320.693553
58.48221,149,321.436196
51.76886,105,322.151996
36.69832,149,322.705809
42.985641,149,323.443315
52.462701,149,324.183449
-243.663785,149,324.914822
73.041323,149,325.632489
67.799333,149,326.37714
91.720208,149,327.092893
80.375713,149,327.886132
94.691554,149,328.650257
102.59554,149,329.375597
83.785381,149,330.104918
102.234727,149,330.844393
118.322985,149,331.585992
-83.160786,7,332.199988
105.532114,149,332.341338
96.025141,149,333.05774
96.627687,149,333.789557
102.930234,149,334.506173
106.199908,149,335.248563
118.464875,149,336.000179
105.048393,149,336.78592
123.588433,149,337.548973
100.570905,149,338.284931
91.087783,149,339.017661
127.256061,149,339.73826
39.182333,46,340.376061
38.906937,48,340.598061
-172.397131,25,340.821348
108.084991,149,341.046349
35.287716,46,341.682185
35.40169,49,341.932891
112.604485,137,342.228626
39.70187,43,342.839306
105.77505,149,343.127306
38.159001,44,343.787351
117.050958,149,344.082268
41.747265,47,344.718933
-10.322552,146,345.016445
41.699793,42,345.634036
40.409605,43,345.837836
40.681657,41,346.041835
113.911252,149,346.322654
107.048245,137,347.039479
99.785617,149,347.705252
52.667877,70,348.366471
49.196261,61,348.695388
132.679837,149,349.05602
40.720725,48,349.70161
82.188525,124,350.020426
-513.424698,149,350.637081
91.870133,149,351.422318
92.815816,149,352.154653
78.089587,149,352.935876
69.521374,149,353.65684
74.739644,149,354.491051
76.557929,149,355.240628
76.786912,149,356.164305
72.363095,149,357.126009
90.582688,149,357.976132
41.585283,149,358.711794
37.469603,149,359.444821
44.84351,149,360.168547
64.836429,149,360.889133
73.776418,149,361.598738
58.486822,149,362.31237
55.7637,149,363.05495
-982.17227,23,363.692671
66.681243,149,363.905189
73.335017,149,364.637621
81.980327,149,365.366926
96.485663,149,366.111562
82.628393,149,366.85487
65.031072,149,367.608535
50.108977,149,368.342685
55.373249,149,369.082376
-1576.367817,33,369.7429
50.314524,149,370.001662
67.771926,149,370.72321
67.758589,149,371.443619
58.740093,149,372.165266
58.42409,149,372.896718
53.189152,149,373.631512
43.960158,149,374.35592
55.646918,149,375.066622
48.540996,149,375.800949
49.864619,149,376.537548
59.885473,149,377.282954
62.656354,149,378.024491
64.945323,149,378.765241
59.335278,149,379.496571
55.658898,149,380.234933
43.592842,149,380.963585
56.685728,149,381.700478
67.885923,149,382.417743
-1973.841018,38,383.074408
60.856457,149,383.351139
59.195845,149,384.077968
52.467313,149,384.816318
52.782401,149,385.777939
47.836705,149,386.666334
51.249718,149,387.54156
48.66414,149,388.403857
50.715563,149,389.242118
62.077582,149,390.152722
46.137831,149,391.047099
88.74666,149,392.046459
58.386887,149,392.990741
61.324191,149,393.914093
56.828754,149,394.894612
51.945959,149,395.812997
58.804868,149,396.668787
31.563542,149,397.506065
81.684524,149,398.375465
26.635132,149,399.237987
56.043267,149,400.140625
54.871603,149,401.107063
58.720837,149,402.047489
54.707432,149,402.998194
49.343997,149,403.872305
41.895271,149,404.828649
40.162158,149,405.798086
46.506827,149,406.786608
38.250136,149,407.744415
26.497046,149,408.724968
22.302954,149,409.565042
36.212607,149,410.382463
24.965246,149,411.237952
29.080768,149,412.080716
31.441407,149,412.941315
28.456996,149,413.892878
21.063516,149,414.840696
37.250244,149,415.793307
32.673415,149,416.738106
32.782861,149,417.561435
34.617571,149,418.321196
13.832309,149,419.065886
4.383506,149,419.794701
26.613527,149,420.635292
33.094475,149,421.468421
41.467838,149,422.238684
17.893708,149,423.022339
36.951073,149,423.827369
31.611473,149,424.571005
28.639091,149,425.318265
49.853116,149,426.058806
48.036166,149,426.773366
20.208384,149,427.495589
40.637442,149,428.209976
76.221904,149,428.927559
27.21259,149,429.662194
